"Device","Kernel","Invocations","Metric Name","Metric Description","Min","Max","Avg"
"Tesla V100-PCIE-32GB (0)","volta_sgemm_128x64_nn",1,"shared_store_transactions","Shared Store Transactions",51392527,51392527,51392527
"Tesla V100-PCIE-32GB (0)","volta_sgemm_128x64_nn",1,"shared_load_transactions","Shared Load Transactions",269475247,269475247,269475247
"Tesla V100-PCIE-32GB (0)","volta_sgemm_128x64_nn",1,"gld_transactions","Global Load Transactions",198658303,198658303,198658303
"Tesla V100-PCIE-32GB (0)","volta_sgemm_128x64_nn",1,"gst_transactions","Global Store Transactions",2097152,2097152,2097152
"Tesla V100-PCIE-32GB (0)","volta_sgemm_128x64_nn",1,"l2_read_transactions","L2 Read Transactions",200026486,200026486,200026486
"Tesla V100-PCIE-32GB (0)","volta_sgemm_128x64_nn",1,"l2_write_transactions","L2 Write Transactions",2097190,2097190,2097190
"Tesla V100-PCIE-32GB (0)","volta_sgemm_128x64_nn",1,"dram_read_transactions","Device Memory Read Transactions",36509008,36509008,36509008
"Tesla V100-PCIE-32GB (0)","volta_sgemm_128x64_nn",1,"dram_write_transactions","Device Memory Write Transactions",2151781,2151781,2151781
"Tesla V100-PCIE-32GB (0)","volta_sgemm_128x64_nn",1,"local_memory_overhead","Local Memory Overhead",1.327690%,1.327690%,1.327690%
"Tesla V100-PCIE-32GB (0)","volta_sgemm_128x64_nn",1,"shared_efficiency","Shared Memory Efficiency",47.392761%,47.392761%,47.392761%
"Tesla V100-PCIE-32GB (0)","volta_sgemm_128x64_nn",1,"shared_utilization","Shared Memory Utilization","Low (3)","Low (3)","Low (3)"
"Tesla V100-PCIE-32GB (0)","volta_sgemm_128x64_nn",1,"l2_utilization","L2 Cache Utilization","Low (2)","Low (2)","Low (2)"
"Tesla V100-PCIE-32GB (0)","volta_sgemm_128x64_nn",1,"ldst_issued","Issued Load/Store Instructions",240910336,240910336,240910336
"Tesla V100-PCIE-32GB (0)","volta_sgemm_128x64_nn",1,"ldst_executed","Executed Load/Store Instructions",240910336,240910336,240910336
"Tesla V100-PCIE-32GB (0)","volta_sgemm_128x64_nn",1,"sm_efficiency","Multiprocessor Activity",95.014047%,95.014047%,95.014047%
"Tesla V100-PCIE-32GB (0)","volta_sgemm_128x64_nn",1,"achieved_occupancy","Achieved Occupancy",0.241204,0.241204,0.241204
