"Start","Duration","Grid X","Grid Y","Grid Z","Block X","Block Y","Block Z","Registers Per Thread","Static SMem","Dynamic SMem","Device","Context","Stream","Name","Correlation_ID"
s,ms,,,,,,,,KB,B,,,,,
11.722210,10.817241,32,32,1,256,1,1,128,16.000000,0,"Tesla V100-PCIE-32GB (0)","1","16","Thread_block_grid_1_1_3(float const *, float const *, float*, int, int, int)",1036
11.733028,10.824217,32,32,1,256,1,1,128,16.000000,0,"Tesla V100-PCIE-32GB (0)","1","16","Thread_block_grid_1_1_3(float const *, float const *, float*, int, int, int)",1037
11.743853,10.809017,32,32,1,256,1,1,128,16.000000,0,"Tesla V100-PCIE-32GB (0)","1","16","Thread_block_grid_1_1_3(float const *, float const *, float*, int, int, int)",1038
11.754663,10.822873,32,32,1,256,1,1,128,16.000000,0,"Tesla V100-PCIE-32GB (0)","1","16","Thread_block_grid_1_1_3(float const *, float const *, float*, int, int, int)",1039
11.765486,10.810585,32,32,1,256,1,1,128,16.000000,0,"Tesla V100-PCIE-32GB (0)","1","16","Thread_block_grid_1_1_3(float const *, float const *, float*, int, int, int)",1040
11.776298,10.813753,32,32,1,256,1,1,128,16.000000,0,"Tesla V100-PCIE-32GB (0)","1","16","Thread_block_grid_1_1_3(float const *, float const *, float*, int, int, int)",1041
11.787112,10.814969,32,32,1,256,1,1,128,16.000000,0,"Tesla V100-PCIE-32GB (0)","1","16","Thread_block_grid_1_1_3(float const *, float const *, float*, int, int, int)",1042
11.797928,11.528340,32,32,1,256,1,1,128,16.000000,0,"Tesla V100-PCIE-32GB (0)","1","16","Thread_block_grid_1_1_3(float const *, float const *, float*, int, int, int)",1043
11.809457,10.817529,32,32,1,256,1,1,128,16.000000,0,"Tesla V100-PCIE-32GB (0)","1","16","Thread_block_grid_1_1_3(float const *, float const *, float*, int, int, int)",1044
11.820276,11.529396,32,32,1,256,1,1,128,16.000000,0,"Tesla V100-PCIE-32GB (0)","1","16","Thread_block_grid_1_1_3(float const *, float const *, float*, int, int, int)",1045
11.831806,10.818521,32,32,1,256,1,1,128,16.000000,0,"Tesla V100-PCIE-32GB (0)","1","16","Thread_block_grid_1_1_3(float const *, float const *, float*, int, int, int)",1046
11.842626,11.526452,32,32,1,256,1,1,128,16.000000,0,"Tesla V100-PCIE-32GB (0)","1","16","Thread_block_grid_1_1_3(float const *, float const *, float*, int, int, int)",1047
11.854153,10.815482,32,32,1,256,1,1,128,16.000000,0,"Tesla V100-PCIE-32GB (0)","1","16","Thread_block_grid_1_1_3(float const *, float const *, float*, int, int, int)",1048
11.864969,11.529748,32,32,1,256,1,1,128,16.000000,0,"Tesla V100-PCIE-32GB (0)","1","16","Thread_block_grid_1_1_3(float const *, float const *, float*, int, int, int)",1049
11.876500,10.813145,32,32,1,256,1,1,128,16.000000,0,"Tesla V100-PCIE-32GB (0)","1","16","Thread_block_grid_1_1_3(float const *, float const *, float*, int, int, int)",1050
11.887314,10.809689,32,32,1,256,1,1,128,16.000000,0,"Tesla V100-PCIE-32GB (0)","1","16","Thread_block_grid_1_1_3(float const *, float const *, float*, int, int, int)",1051
