Program,Optimization,Problem_Size,Runtime_sec
matmul,DaCe,128,0.02403664
matmul,DaCe,128,0.00367038
matmul,DaCe,128,0.00335223
matmul,DaCe,128,0.01731931
matmul,DaCe,128,0.00733638
matmul,DaCe,128,0.00276033
matmul,DaCe,128,0.00305794
matmul,DaCe,128,0.00275240
matmul,DaCe,128,0.00395045
matmul,DaCe,128,0.00282802
matmul,DaCe,128,0.00281921
matmul,DaCe,128,0.00299836
matmul,DaCe,128,0.00282580
matmul,DaCe,128,0.00307302
matmul,DaCe,128,0.00351804
matmul,DaCe,128,0.00293868
matmul,DaCe,128,0.00311031
matmul,DaCe,128,0.00283987
matmul,DaCe,128,0.00296533
matmul,DaCe,128,0.00357671
matmul,DaCe,128,0.00286859
matmul,DaCe,128,0.00309565
matmul,DaCe,128,0.00303563
matmul,DaCe,128,0.00308105
matmul,DaCe,128,0.00450456
matmul,DaCe,128,0.00307208
matmul,DaCe,128,0.00298373
matmul,DaCe,128,0.00283108
matmul,DaCe,128,0.00300148
matmul,DaCe,128,0.00433560
matmul,DaCe,128,0.00291003
matmul,DaCe,128,0.00314238
matmul,DaCe,128,0.00280649
matmul,DaCe,128,0.00274120
matmul,DaCe,128,0.00401446
matmul,DaCe,128,0.00283387
matmul,DaCe,128,0.00297840
matmul,DaCe,128,0.00308309
matmul,DaCe,128,0.00295316
matmul,DaCe,128,0.00280280
matmul,DaCe,128,0.00365906
matmul,DaCe,128,0.00295950
matmul,DaCe,128,0.00287159
matmul,DaCe,128,0.00304285
matmul,DaCe,128,0.00288186
matmul,DaCe,128,0.00383107
matmul,DaCe,128,0.00295999
matmul,DaCe,128,0.00272482
matmul,DaCe,128,0.00310463
matmul,DaCe,128,0.00305076
matmul,DaCe,128,0.00271689
matmul,DaCe,128,0.00361442
matmul,DaCe,128,0.00309275
matmul,DaCe,128,0.00297363
matmul,DaCe,128,0.00297200
matmul,DaCe,128,0.00268847
matmul,DaCe,128,0.00430345
matmul,DaCe,128,0.00294001
matmul,DaCe,128,0.00303984
matmul,DaCe,128,0.00288289
matmul,DaCe,128,0.00296798
matmul,DaCe,128,0.00398063
matmul,DaCe,128,0.00286602
matmul,DaCe,128,0.00297911
matmul,DaCe,128,0.00281877
matmul,DaCe,128,0.00307974
matmul,DaCe,128,0.00289119
matmul,DaCe,128,0.00364343
matmul,DaCe,128,0.00306727
matmul,DaCe,128,0.00313896
matmul,DaCe,128,0.00303691
matmul,DaCe,128,0.00276485
matmul,DaCe,128,0.00378684
matmul,DaCe,128,0.00269804
matmul,DaCe,128,0.00298690
matmul,DaCe,128,0.00268940
matmul,DaCe,128,0.00279179
matmul,DaCe,128,0.00307817
matmul,DaCe,128,0.00380662
matmul,DaCe,128,0.00308170
matmul,DaCe,128,0.00321871
matmul,DaCe,128,0.00290007
matmul,DaCe,128,0.00304542
matmul,DaCe,128,0.00357701
matmul,DaCe,128,0.00289915
matmul,DaCe,128,0.00306315
matmul,DaCe,128,0.00286161
matmul,DaCe,128,0.00311630
matmul,DaCe,128,0.00376028
matmul,DaCe,128,0.00450844
matmul,DaCe,128,0.00300969
matmul,DaCe,128,0.00297432
matmul,DaCe,128,0.00289575
matmul,DaCe,128,0.00412392
matmul,DaCe,128,0.00321345
matmul,DaCe,128,0.00284033
matmul,DaCe,128,0.00295998
matmul,DaCe,128,0.00307045
matmul,DaCe,128,0.00383362
matmul,DaCe,128,0.00283099
