Program,Optimization,Problem_Size,Runtime_sec
matmul,DaCe,128,0.02035987
matmul,DaCe,128,0.00390302
matmul,DaCe,128,0.00362324
matmul,DaCe,128,0.00349325
matmul,DaCe,128,0.00629380
matmul,DaCe,128,0.00317638
matmul,DaCe,128,0.00297211
matmul,DaCe,128,0.00314486
matmul,DaCe,128,0.00535304
matmul,DaCe,128,0.00295748
matmul,DaCe,128,0.00279906
matmul,DaCe,128,0.00278502
matmul,DaCe,128,0.00296333
matmul,DaCe,128,0.00523776
matmul,DaCe,128,0.00281362
matmul,DaCe,128,0.00293886
matmul,DaCe,128,0.00284517
matmul,DaCe,128,0.00271914
matmul,DaCe,128,0.00514772
matmul,DaCe,128,0.00287920
matmul,DaCe,128,0.00292280
matmul,DaCe,128,0.00313367
matmul,DaCe,128,0.00309371
matmul,DaCe,128,0.00504362
matmul,DaCe,128,0.00291119
matmul,DaCe,128,0.00307590
matmul,DaCe,128,0.00288109
matmul,DaCe,128,0.00459362
matmul,DaCe,128,0.00602179
matmul,DaCe,128,0.00301288
matmul,DaCe,128,0.00309496
matmul,DaCe,128,0.00290503
matmul,DaCe,128,0.00556855
matmul,DaCe,128,0.00288815
matmul,DaCe,128,0.00284291
matmul,DaCe,128,0.00273012
matmul,DaCe,128,0.00292121
matmul,DaCe,128,0.00519876
matmul,DaCe,128,0.00293573
matmul,DaCe,128,0.00280364
matmul,DaCe,128,0.00315129
matmul,DaCe,128,0.00510943
matmul,DaCe,128,0.00279333
matmul,DaCe,128,0.00306994
matmul,DaCe,128,0.00279542
matmul,DaCe,128,0.00306763
matmul,DaCe,128,0.00444797
matmul,DaCe,128,0.00457727
matmul,DaCe,128,0.00281773
matmul,DaCe,128,0.00315717
matmul,DaCe,128,0.00297596
matmul,DaCe,128,0.00573112
matmul,DaCe,128,0.00278939
matmul,DaCe,128,0.00304799
matmul,DaCe,128,0.00290514
matmul,DaCe,128,0.00304673
matmul,DaCe,128,0.00652196
matmul,DaCe,128,0.00307561
matmul,DaCe,128,0.00308452
matmul,DaCe,128,0.00312912
matmul,DaCe,128,0.00630506
matmul,DaCe,128,0.00288309
matmul,DaCe,128,0.00281497
matmul,DaCe,128,0.00295316
matmul,DaCe,128,0.00497974
matmul,DaCe,128,0.00413585
matmul,DaCe,128,0.00281508
matmul,DaCe,128,0.00304428
matmul,DaCe,128,0.00277102
matmul,DaCe,128,0.00562180
matmul,DaCe,128,0.00286375
matmul,DaCe,128,0.00315521
matmul,DaCe,128,0.00311161
matmul,DaCe,128,0.00276789
matmul,DaCe,128,0.00562457
matmul,DaCe,128,0.00280917
matmul,DaCe,128,0.00308201
matmul,DaCe,128,0.00308788
matmul,DaCe,128,0.00298930
matmul,DaCe,128,0.00585868
matmul,DaCe,128,0.00310302
matmul,DaCe,128,0.00311482
matmul,DaCe,128,0.00290162
matmul,DaCe,128,0.00564548
matmul,DaCe,128,0.00439525
matmul,DaCe,128,0.00288847
matmul,DaCe,128,0.00313087
matmul,DaCe,128,0.00632083
matmul,DaCe,128,0.00275327
matmul,DaCe,128,0.00278243
matmul,DaCe,128,0.00285702
matmul,DaCe,128,0.00309236
matmul,DaCe,128,0.00542597
matmul,DaCe,128,0.00298875
matmul,DaCe,128,0.00289654
matmul,DaCe,128,0.00303759
matmul,DaCe,128,0.00302725
matmul,DaCe,128,0.00592810
matmul,DaCe,128,0.00308323
matmul,DaCe,128,0.00302094
