Program,Optimization,Problem_Size,Runtime_sec
matmul,DaCe,100,0.01207151
matmul,DaCe,100,0.00002625
matmul,DaCe,100,0.00000573
matmul,DaCe,100,0.00000442
matmul,DaCe,100,0.00000417
matmul,DaCe,100,0.00000436
matmul,DaCe,100,0.00000419
matmul,DaCe,100,0.00000470
matmul,DaCe,100,0.00000435
matmul,DaCe,100,0.00000421
matmul,DaCe,100,0.00000440
matmul,DaCe,100,0.00000404
matmul,DaCe,100,0.00000384
matmul,DaCe,100,0.00000411
matmul,DaCe,100,0.00000399
matmul,DaCe,100,0.00000448
matmul,DaCe,100,0.00000422
matmul,DaCe,100,0.00000409
matmul,DaCe,100,0.00000409
matmul,DaCe,100,0.00000401
matmul,DaCe,100,0.00000430
matmul,DaCe,100,0.00000424
matmul,DaCe,100,0.00000452
matmul,DaCe,100,0.00000429
matmul,DaCe,100,0.00000443
matmul,DaCe,100,0.00000449
matmul,DaCe,100,0.00000415
matmul,DaCe,100,0.00000436
matmul,DaCe,100,0.00000416
matmul,DaCe,100,0.00000416
matmul,DaCe,100,0.00000455
matmul,DaCe,100,0.00000438
matmul,DaCe,100,0.00000429
matmul,DaCe,100,0.00000417
matmul,DaCe,100,0.00000487
matmul,DaCe,100,0.00000495
matmul,DaCe,100,0.00000454
matmul,DaCe,100,0.00000441
matmul,DaCe,100,0.00000444
matmul,DaCe,100,0.00000485
matmul,DaCe,100,0.00000463
matmul,DaCe,100,0.00000476
matmul,DaCe,100,0.00000490
matmul,DaCe,100,0.00000575
matmul,DaCe,100,0.00000514
matmul,DaCe,100,0.00000512
matmul,DaCe,100,0.00000459
matmul,DaCe,100,0.00000516
matmul,DaCe,100,0.00000484
matmul,DaCe,100,0.00000543
matmul,DaCe,100,0.00000517
matmul,DaCe,100,0.00000567
matmul,DaCe,100,0.00000475
matmul,DaCe,100,0.00000534
matmul,DaCe,100,0.00000521
matmul,DaCe,100,0.00000638
matmul,DaCe,100,0.00000553
matmul,DaCe,100,0.00000515
matmul,DaCe,100,0.00000625
matmul,DaCe,100,0.00000693
matmul,DaCe,100,0.00000692
matmul,DaCe,100,0.00000858
matmul,DaCe,100,0.00000508
matmul,DaCe,100,0.00019118
matmul,DaCe,100,0.00002704
matmul,DaCe,100,0.00000678
matmul,DaCe,100,0.00000574
matmul,DaCe,100,0.00000493
matmul,DaCe,100,0.00000707
matmul,DaCe,100,0.00000443
matmul,DaCe,100,0.00000456
matmul,DaCe,100,0.00000491
matmul,DaCe,100,0.00000491
matmul,DaCe,100,0.00000544
matmul,DaCe,100,0.00000629
matmul,DaCe,100,0.00000415
matmul,DaCe,100,0.00000471
matmul,DaCe,100,0.00000466
matmul,DaCe,100,0.00002216
matmul,DaCe,100,0.00000519
matmul,DaCe,100,0.00000536
matmul,DaCe,100,0.00000565
matmul,DaCe,100,0.00000547
matmul,DaCe,100,0.00000480
matmul,DaCe,100,0.00000511
matmul,DaCe,100,0.00000543
matmul,DaCe,100,0.00000499
matmul,DaCe,100,0.00000579
matmul,DaCe,100,0.00000478
matmul,DaCe,100,0.00000582
matmul,DaCe,100,0.00000560
matmul,DaCe,100,0.00000580
matmul,DaCe,100,0.00000572
matmul,DaCe,100,0.00000476
matmul,DaCe,100,0.00000548
matmul,DaCe,100,0.00000488
matmul,DaCe,100,0.00000534
matmul,DaCe,100,0.00000590
matmul,DaCe,100,0.00000548
matmul,DaCe,100,0.00000559
