Program,Optimization,Problem_Size,Runtime_sec
matmul,DaCe,128,0.03475045
matmul,DaCe,128,0.01498421
matmul,DaCe,128,0.00691856
matmul,DaCe,128,0.00347722
matmul,DaCe,128,0.00339792
matmul,DaCe,128,0.01040942
matmul,DaCe,128,0.00313506
matmul,DaCe,128,0.00315965
matmul,DaCe,128,0.00474692
matmul,DaCe,128,0.00298317
matmul,DaCe,128,0.00306419
matmul,DaCe,128,0.00294056
matmul,DaCe,128,0.00298501
matmul,DaCe,128,0.01364479
matmul,DaCe,128,0.00290614
matmul,DaCe,128,0.00409263
matmul,DaCe,128,0.00315230
matmul,DaCe,128,0.00300627
matmul,DaCe,128,0.00302778
matmul,DaCe,128,0.00297983
matmul,DaCe,128,0.00290538
matmul,DaCe,128,0.00392707
matmul,DaCe,128,0.00296921
matmul,DaCe,128,0.00289662
matmul,DaCe,128,0.00278304
matmul,DaCe,128,0.00298072
matmul,DaCe,128,0.00460783
matmul,DaCe,128,0.00305152
matmul,DaCe,128,0.00293486
matmul,DaCe,128,0.00314025
matmul,DaCe,128,0.00281735
matmul,DaCe,128,0.00367022
matmul,DaCe,128,0.00289009
matmul,DaCe,128,0.00293940
matmul,DaCe,128,0.00280809
matmul,DaCe,128,0.00282049
matmul,DaCe,128,0.00306619
matmul,DaCe,128,0.00353559
matmul,DaCe,128,0.00310149
matmul,DaCe,128,0.00299812
matmul,DaCe,128,0.00296996
matmul,DaCe,128,0.00315516
matmul,DaCe,128,0.00359565
matmul,DaCe,128,0.00300447
matmul,DaCe,128,0.00293907
matmul,DaCe,128,0.00272923
matmul,DaCe,128,0.00283771
matmul,DaCe,128,0.00414608
matmul,DaCe,128,0.00310634
matmul,DaCe,128,0.00280647
matmul,DaCe,128,0.00304134
matmul,DaCe,128,0.00294627
matmul,DaCe,128,0.00297411
matmul,DaCe,128,0.00358763
matmul,DaCe,128,0.00312318
matmul,DaCe,128,0.00273625
matmul,DaCe,128,0.00304678
matmul,DaCe,128,0.00292962
matmul,DaCe,128,0.00426177
matmul,DaCe,128,0.00303377
matmul,DaCe,128,0.00284298
matmul,DaCe,128,0.00307043
matmul,DaCe,128,0.00306436
matmul,DaCe,128,0.00375569
matmul,DaCe,128,0.00300333
matmul,DaCe,128,0.00276052
matmul,DaCe,128,0.00307682
matmul,DaCe,128,0.00304358
matmul,DaCe,128,0.00404818
matmul,DaCe,128,0.00310719
matmul,DaCe,128,0.00303429
matmul,DaCe,128,0.00291832
matmul,DaCe,128,0.00295157
matmul,DaCe,128,0.00300173
matmul,DaCe,128,0.00409703
matmul,DaCe,128,0.00449239
matmul,DaCe,128,0.00316071
matmul,DaCe,128,0.00285937
matmul,DaCe,128,0.01496306
matmul,DaCe,128,0.05406008
matmul,DaCe,128,0.02995546
matmul,DaCe,128,0.00960390
matmul,DaCe,128,0.00378353
matmul,DaCe,128,0.00410144
matmul,DaCe,128,0.00461084
matmul,DaCe,128,0.00340273
matmul,DaCe,128,0.00324859
matmul,DaCe,128,0.00323821
matmul,DaCe,128,0.00336261
matmul,DaCe,128,0.00590012
matmul,DaCe,128,0.00300181
matmul,DaCe,128,0.00326814
matmul,DaCe,128,0.00284022
matmul,DaCe,128,0.00310379
matmul,DaCe,128,0.00391097
matmul,DaCe,128,0.00306452
matmul,DaCe,128,0.00285793
matmul,DaCe,128,0.00311861
matmul,DaCe,128,0.00336524
matmul,DaCe,128,0.00374199
