Program,Optimization,Problem_Size,Runtime_sec
matmul,DaCe,128,0.01768926
matmul,DaCe,128,0.00395266
matmul,DaCe,128,0.00500115
matmul,DaCe,128,0.00341164
matmul,DaCe,128,0.00322187
matmul,DaCe,128,0.00315263
matmul,DaCe,128,0.00416190
matmul,DaCe,128,0.00312918
matmul,DaCe,128,0.00278021
matmul,DaCe,128,0.00302399
matmul,DaCe,128,0.00307091
matmul,DaCe,128,0.00352635
matmul,DaCe,128,0.00278520
matmul,DaCe,128,0.00307717
matmul,DaCe,128,0.00304322
matmul,DaCe,128,0.00293093
matmul,DaCe,128,0.00276443
matmul,DaCe,128,0.00355027
matmul,DaCe,128,0.00288443
matmul,DaCe,128,0.00289960
matmul,DaCe,128,0.00290552
matmul,DaCe,128,0.00272270
matmul,DaCe,128,0.00640992
matmul,DaCe,128,0.00280112
matmul,DaCe,128,0.00292231
matmul,DaCe,128,0.00294172
matmul,DaCe,128,0.00267667
matmul,DaCe,128,0.00392084
matmul,DaCe,128,0.00301741
matmul,DaCe,128,0.00302208
matmul,DaCe,128,0.00455544
matmul,DaCe,128,0.00313364
matmul,DaCe,128,0.00414427
matmul,DaCe,128,0.00299716
matmul,DaCe,128,0.00296763
matmul,DaCe,128,0.00305281
matmul,DaCe,128,0.00288838
matmul,DaCe,128,0.00378158
matmul,DaCe,128,0.00314201
matmul,DaCe,128,0.00309867
matmul,DaCe,128,0.00290484
matmul,DaCe,128,0.00303639
matmul,DaCe,128,0.00366007
matmul,DaCe,128,0.00310400
matmul,DaCe,128,0.00307877
matmul,DaCe,128,0.00306080
matmul,DaCe,128,0.00288426
matmul,DaCe,128,0.00354900
matmul,DaCe,128,0.00302541
matmul,DaCe,128,0.00279047
matmul,DaCe,128,0.00376028
matmul,DaCe,128,0.00290869
matmul,DaCe,128,0.00275281
matmul,DaCe,128,0.00368518
matmul,DaCe,128,0.00283319
matmul,DaCe,128,0.00281968
matmul,DaCe,128,0.00302995
matmul,DaCe,128,0.00289828
matmul,DaCe,128,0.00380541
matmul,DaCe,128,0.00311738
matmul,DaCe,128,0.00268164
matmul,DaCe,128,0.00298405
matmul,DaCe,128,0.00405400
matmul,DaCe,128,0.00432343
matmul,DaCe,128,0.00295839
matmul,DaCe,128,0.00302247
matmul,DaCe,128,0.00293808
matmul,DaCe,128,0.00267730
matmul,DaCe,128,0.00311629
matmul,DaCe,128,0.00442263
matmul,DaCe,128,0.00291871
matmul,DaCe,128,0.00293729
matmul,DaCe,128,0.00284465
matmul,DaCe,128,0.00283713
matmul,DaCe,128,0.00353815
matmul,DaCe,128,0.00288098
matmul,DaCe,128,0.00303755
matmul,DaCe,128,0.00292203
matmul,DaCe,128,0.00290525
matmul,DaCe,128,0.00353500
matmul,DaCe,128,0.00308538
matmul,DaCe,128,0.00312472
matmul,DaCe,128,0.00298284
matmul,DaCe,128,0.00284105
matmul,DaCe,128,0.00301695
matmul,DaCe,128,0.00372136
matmul,DaCe,128,0.00300841
matmul,DaCe,128,0.00313297
matmul,DaCe,128,0.00291846
matmul,DaCe,128,0.00301786
matmul,DaCe,128,0.00353929
matmul,DaCe,128,0.00310064
matmul,DaCe,128,0.00294729
matmul,DaCe,128,0.00329396
matmul,DaCe,128,0.00462870
matmul,DaCe,128,0.00405835
matmul,DaCe,128,0.00301890
matmul,DaCe,128,0.00302269
matmul,DaCe,128,0.00308439
matmul,DaCe,128,0.00306008
