Program,Optimization,Problem_Size,Runtime_sec
matmul,DaCe,100,0.00318118
matmul,DaCe,100,0.00249179
matmul,DaCe,100,0.00243376
matmul,DaCe,100,0.00234825
matmul,DaCe,100,0.00229811
matmul,DaCe,100,0.00239396
matmul,DaCe,100,0.00195665
matmul,DaCe,100,0.00174347
matmul,DaCe,100,0.00173500
matmul,DaCe,100,0.00166554
matmul,DaCe,100,0.00157646
matmul,DaCe,100,0.00170852
matmul,DaCe,100,0.00233671
matmul,DaCe,100,0.00314750
matmul,DaCe,100,0.00198886
matmul,DaCe,100,0.00153004
matmul,DaCe,100,0.00146791
matmul,DaCe,100,0.00164705
matmul,DaCe,100,0.00144094
matmul,DaCe,100,0.00138863
matmul,DaCe,100,0.00141725
matmul,DaCe,100,0.00152569
matmul,DaCe,100,0.00135607
matmul,DaCe,100,0.00135745
matmul,DaCe,100,0.00137637
matmul,DaCe,100,0.00423216
matmul,DaCe,100,0.00143900
matmul,DaCe,100,0.00138267
matmul,DaCe,100,0.00134998
matmul,DaCe,100,0.00131043
matmul,DaCe,100,0.00134463
matmul,DaCe,100,0.00164866
matmul,DaCe,100,0.00134368
matmul,DaCe,100,0.00144844
matmul,DaCe,100,0.00128532
matmul,DaCe,100,0.00128415
matmul,DaCe,100,0.00130721
matmul,DaCe,100,0.00128607
matmul,DaCe,100,0.00128417
matmul,DaCe,100,0.00169275
matmul,DaCe,100,0.00138556
matmul,DaCe,100,0.00128754
matmul,DaCe,100,0.00131139
matmul,DaCe,100,0.00140636
matmul,DaCe,100,0.00128465
matmul,DaCe,100,0.00128700
matmul,DaCe,100,0.00128390
matmul,DaCe,100,0.00128498
matmul,DaCe,100,0.00129612
matmul,DaCe,100,0.00128909
matmul,DaCe,100,0.00128420
matmul,DaCe,100,0.00128476
matmul,DaCe,100,0.00157140
matmul,DaCe,100,0.00128795
matmul,DaCe,100,0.00130044
matmul,DaCe,100,0.00131394
matmul,DaCe,100,0.00283551
matmul,DaCe,100,0.00141100
matmul,DaCe,100,0.00129789
matmul,DaCe,100,0.00130824
matmul,DaCe,100,0.00141152
matmul,DaCe,100,0.00165159
matmul,DaCe,100,0.00152846
matmul,DaCe,100,0.00234132
matmul,DaCe,100,0.00179901
matmul,DaCe,100,0.00169858
matmul,DaCe,100,0.00129297
matmul,DaCe,100,0.00145590
matmul,DaCe,100,0.00129126
matmul,DaCe,100,0.00131949
matmul,DaCe,100,0.00137691
matmul,DaCe,100,0.00128706
matmul,DaCe,100,0.00131650
matmul,DaCe,100,0.00129424
matmul,DaCe,100,0.00130320
matmul,DaCe,100,0.00133119
matmul,DaCe,100,0.00129694
matmul,DaCe,100,0.00138418
matmul,DaCe,100,0.00157538
matmul,DaCe,100,0.00168916
matmul,DaCe,100,0.00157935
matmul,DaCe,100,0.00144022
matmul,DaCe,100,0.00131870
matmul,DaCe,100,0.00134217
matmul,DaCe,100,0.00128407
matmul,DaCe,100,0.00131792
matmul,DaCe,100,0.00193612
matmul,DaCe,100,0.00195313
matmul,DaCe,100,0.00129612
matmul,DaCe,100,0.00140511
matmul,DaCe,100,0.00193036
matmul,DaCe,100,0.00133778
matmul,DaCe,100,0.00130218
matmul,DaCe,100,0.00128542
matmul,DaCe,100,0.00128576
matmul,DaCe,100,0.00175710
matmul,DaCe,100,0.00134494
matmul,DaCe,100,0.00133239
matmul,DaCe,100,0.00128485
matmul,DaCe,100,0.00144954
