Program,Optimization,Problem_Size,Runtime_sec
matmul,DaCe,100,0.00037950
matmul,DaCe,100,0.00000504
matmul,DaCe,100,0.00000369
matmul,DaCe,100,0.00000359
matmul,DaCe,100,0.00000360
matmul,DaCe,100,0.00000357
matmul,DaCe,100,0.00000363
matmul,DaCe,100,0.00000359
matmul,DaCe,100,0.00000351
matmul,DaCe,100,0.00000331
matmul,DaCe,100,0.00000344
matmul,DaCe,100,0.00000335
matmul,DaCe,100,0.00000349
matmul,DaCe,100,0.00000361
matmul,DaCe,100,0.00000367
matmul,DaCe,100,0.00000360
matmul,DaCe,100,0.00000350
matmul,DaCe,100,0.00000360
matmul,DaCe,100,0.00000370
matmul,DaCe,100,0.00000344
matmul,DaCe,100,0.00000355
matmul,DaCe,100,0.00000356
matmul,DaCe,100,0.00000372
matmul,DaCe,100,0.00000356
matmul,DaCe,100,0.00000345
matmul,DaCe,100,0.00000352
matmul,DaCe,100,0.00000499
matmul,DaCe,100,0.00000346
matmul,DaCe,100,0.00000350
matmul,DaCe,100,0.00000358
matmul,DaCe,100,0.00000353
matmul,DaCe,100,0.00000351
matmul,DaCe,100,0.00000362
matmul,DaCe,100,0.00000385
matmul,DaCe,100,0.00000340
matmul,DaCe,100,0.00000351
matmul,DaCe,100,0.00000337
matmul,DaCe,100,0.00000343
matmul,DaCe,100,0.00000356
matmul,DaCe,100,0.00000339
matmul,DaCe,100,0.00000354
matmul,DaCe,100,0.00000364
matmul,DaCe,100,0.00000334
matmul,DaCe,100,0.00000348
matmul,DaCe,100,0.00000359
matmul,DaCe,100,0.00000349
matmul,DaCe,100,0.00000359
matmul,DaCe,100,0.00000351
matmul,DaCe,100,0.00000335
matmul,DaCe,100,0.00000361
matmul,DaCe,100,0.00000339
matmul,DaCe,100,0.00000372
matmul,DaCe,100,0.00000344
matmul,DaCe,100,0.00000359
matmul,DaCe,100,0.00000356
matmul,DaCe,100,0.00000356
matmul,DaCe,100,0.00000363
matmul,DaCe,100,0.00000358
matmul,DaCe,100,0.00000355
matmul,DaCe,100,0.00000351
matmul,DaCe,100,0.00000349
matmul,DaCe,100,0.00000342
matmul,DaCe,100,0.00000340
matmul,DaCe,100,0.00000350
matmul,DaCe,100,0.00000353
matmul,DaCe,100,0.00000352
matmul,DaCe,100,0.00000349
matmul,DaCe,100,0.00000355
matmul,DaCe,100,0.00000344
matmul,DaCe,100,0.00000346
matmul,DaCe,100,0.00000347
matmul,DaCe,100,0.00000338
matmul,DaCe,100,0.00000882
matmul,DaCe,100,0.00000344
matmul,DaCe,100,0.00000371
matmul,DaCe,100,0.00000352
matmul,DaCe,100,0.00000354
matmul,DaCe,100,0.00000352
matmul,DaCe,100,0.00000352
matmul,DaCe,100,0.00000334
matmul,DaCe,100,0.00000362
matmul,DaCe,100,0.00000350
matmul,DaCe,100,0.00000348
matmul,DaCe,100,0.00000389
matmul,DaCe,100,0.00000343
matmul,DaCe,100,0.00000352
matmul,DaCe,100,0.00000352
matmul,DaCe,100,0.00000357
matmul,DaCe,100,0.00000338
matmul,DaCe,100,0.00000371
matmul,DaCe,100,0.00000372
matmul,DaCe,100,0.00000363
matmul,DaCe,100,0.00000374
matmul,DaCe,100,0.00000349
matmul,DaCe,100,0.00000350
matmul,DaCe,100,0.00000368
matmul,DaCe,100,0.00000349
matmul,DaCe,100,0.00000358
matmul,DaCe,100,0.00000347
matmul,DaCe,100,0.00000348
