Program,Optimization,Problem_Size,Runtime_sec
matmul,DaCe,128,0.01717165
matmul,DaCe,128,0.00827343
matmul,DaCe,128,0.00383624
matmul,DaCe,128,0.00478838
matmul,DaCe,128,0.00338068
matmul,DaCe,128,0.00314171
matmul,DaCe,128,0.00302487
matmul,DaCe,128,0.00315839
matmul,DaCe,128,0.00588340
matmul,DaCe,128,0.00301154
matmul,DaCe,128,0.00307180
matmul,DaCe,128,0.00310468
matmul,DaCe,128,0.00295795
matmul,DaCe,128,0.00540725
matmul,DaCe,128,0.00309115
matmul,DaCe,128,0.00287966
matmul,DaCe,128,0.00276238
matmul,DaCe,128,0.00268670
matmul,DaCe,128,0.00525797
matmul,DaCe,128,0.00299317
matmul,DaCe,128,0.00300487
matmul,DaCe,128,0.00282266
matmul,DaCe,128,0.00522850
matmul,DaCe,128,0.00301561
matmul,DaCe,128,0.00294374
matmul,DaCe,128,0.00297409
matmul,DaCe,128,0.00295102
matmul,DaCe,128,0.00449092
matmul,DaCe,128,0.00317082
matmul,DaCe,128,0.00301503
matmul,DaCe,128,0.00289563
matmul,DaCe,128,0.00289137
matmul,DaCe,128,0.00297987
matmul,DaCe,128,0.00573353
matmul,DaCe,128,0.00294130
matmul,DaCe,128,0.00292338
matmul,DaCe,128,0.00305477
matmul,DaCe,128,0.00564965
matmul,DaCe,128,0.00323890
matmul,DaCe,128,0.00268981
matmul,DaCe,128,0.00280038
matmul,DaCe,128,0.00274708
matmul,DaCe,128,0.00516551
matmul,DaCe,128,0.00276228
matmul,DaCe,128,0.00304116
matmul,DaCe,128,0.00295478
matmul,DaCe,128,0.00269586
matmul,DaCe,128,0.00525862
matmul,DaCe,128,0.00280619
matmul,DaCe,128,0.00316817
matmul,DaCe,128,0.00296583
matmul,DaCe,128,0.00280654
matmul,DaCe,128,0.00523715
matmul,DaCe,128,0.00293216
matmul,DaCe,128,0.00269168
matmul,DaCe,128,0.00286302
matmul,DaCe,128,0.00302282
matmul,DaCe,128,0.00449762
matmul,DaCe,128,0.00305848
matmul,DaCe,128,0.00303171
matmul,DaCe,128,0.00309287
matmul,DaCe,128,0.00293642
matmul,DaCe,128,0.00573048
matmul,DaCe,128,0.00286602
matmul,DaCe,128,0.00278870
matmul,DaCe,128,0.00272680
matmul,DaCe,128,0.00279311
matmul,DaCe,128,0.00592135
matmul,DaCe,128,0.00295691
matmul,DaCe,128,0.00281409
matmul,DaCe,128,0.00268836
matmul,DaCe,128,0.00538391
matmul,DaCe,128,0.00300409
matmul,DaCe,128,0.00280135
matmul,DaCe,128,0.00296397
matmul,DaCe,128,0.00309264
matmul,DaCe,128,0.00485897
matmul,DaCe,128,0.00532938
matmul,DaCe,128,0.00284552
matmul,DaCe,128,0.00286713
matmul,DaCe,128,0.00816765
matmul,DaCe,128,0.00269171
matmul,DaCe,128,0.00279256
matmul,DaCe,128,0.00276604
matmul,DaCe,128,0.00270676
matmul,DaCe,128,0.00402512
matmul,DaCe,128,0.00407093
matmul,DaCe,128,0.00292257
matmul,DaCe,128,0.00300212
matmul,DaCe,128,0.00296971
matmul,DaCe,128,0.00570833
matmul,DaCe,128,0.00305353
matmul,DaCe,128,0.00311517
matmul,DaCe,128,0.00279508
matmul,DaCe,128,0.00578098
matmul,DaCe,128,0.00270217
matmul,DaCe,128,0.00276828
matmul,DaCe,128,0.00271041
matmul,DaCe,128,0.00276180
matmul,DaCe,128,0.00417758
